type,message,len_type,len_message
0,hi babe im at home now wanna do something xx,3,45
0,k k where are you how did you performed,3,42
0,u can call me now,3,20
0,i am waiting machan call me once you free,3,43
0,thats cool i am a gentleman and will treat you with dignity and respect,3,73
0,i like you peoples very much but am very shy pa,3,50
0,does not operate after lt gt or what,3,42
0,its not the same here still looking for a job how much do ta s earn there,3,76
0,sorry i ll call later,3,22
0,k did you call me just now ah,3,32
0,ok i am on the way to home hi hi,3,32
0,you will be in the place of that man,3,36
0,yup next stop,3,14
0,i call you later don t have network if urgnt sms me,3,55
0,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,3,121
0,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,3,144
0,i m really not up to it still tonight babe,3,42
0,ela kano il download come wen ur free,3,41
0,yeah do don t stand to close tho you ll catch something,3,62
0,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuffmoro and that includes all my time sheets and that sorry,3,195
0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,3,141
1,please call our customer service representative on between am pm as you have won a guaranteed cash or prize,4,139
0,havent planning to buy later i check already lido only got show in e afternoon u finish work already,3,107
1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,4,125
0,watching telugu movie wat abt u,3,33
0,i see when we finish we have loads of loans to pay,3,51
0,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,3,184
0,please don t text me anymore i have nothing else to say,3,57
0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,3,81
0,i m still looking for a car to buy and have not gone the driving test yet,3,76
0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,3,160
0,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,3,183
0,umma my life and vava umma love you lot dear,3,44
0,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,3,95
0,aight i ll hit you up when i get some cash,3,43
0,how would my ip address test that considering my computer isn t a minecraft server,3,82
0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,3,115
0,dont worry i guess he s busy,3,30
0,what is the plural of the noun research,3,40
0,going for dinner msg you after,3,31
0,i m ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,3,96
1,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm,4,159
0,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened,3,143
0,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,3,156
1,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim p min,4,153
0,goodo yes we must speak friday egg potato ratio for tortilla needed,3,72
0,hmm my uncle just informed me that he s paying the school directly so pls buy food,3,86
1,private your account statement for shows unredeemed bonus points to claim call identifier code expires,4,144
1,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,4,157
0,here is my new address apples pairs all that malarky,3,53
1,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,4,156
0,i am going to sao mu today will be done only at,3,52
0,predict wat time ll finish buying,3,40
0,good stuff will do,3,20
0,just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise,3,244
0,are you there in room,3,22
0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,3,107
0,k k how much does it cost,3,28
0,i m home,3,9
0,dear will call tmorrow pls accomodate,3,39
0,first answer my question,3,25
1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sp tyrone,4,126
1,want get laid tonight want real dogging locations sent direct ur mob join the uk s largest dogging network bt txting gravel to nt eca p msg p,4,162
0,i only haf msn it s yijue hotmail com,3,38
0,he is there you call and meet him,3,34
0,no no i will check all rooms befor activities,3,46
1,you ll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,4,155
0,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,3,86
0,k text me when you re on the way,3,33
0,sir waiting for your mail,3,27
0,a swt thought nver get tired of doing little things lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni,3,158
0,i know you are can you pls open the back,3,42
0,yes see ya not on the dot,3,25
0,whats the staff name who is taking class for us,3,48
1,freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,4,159
0,ummma will call after check in our life will begin from qatar so pls pray very hard,3,84
0,k i deleted my contact that why,3,33
0,sindu got job in birla soft,3,30
0,the wine is flowing and i m i have nevering,3,45
0,yup i thk cine is better cos no need go down plaza mah,3,59
0,ok ur typical reply,3,25
0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,3,160
0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,3,384
0,aaooooright are you at work,3,28
0,i m leaving my house now,3,27
0,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,3,157
1,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,4,124
1,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim,4,146
0,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,3,115
0,new car and house for my parents i have only new job in hand,3,64
0,i m so in love with you i m excited each day i spend with you you make me so happy,3,85
1,pls stop bootydelious f is inviting you to be her friend reply yes or no see her www sms ac u bootydelious stop send stop frnd to,4,152
1,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internet service menu,4,155
0,i place all ur points on e cultures module already,3,51
1,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code s valid hrs only,4,157
0,hi frnd which is best way to avoid missunderstding wit our beloved one s,3,74
0,great escape i fancy the bridge but needs her lager see you tomo,3,67
0,yes it completely in out of form clark also utter waste,3,59
0,sir i need axis bank account no and bank address,3,50
0,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao,3,94
0,what time you coming down later,3,33
0,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,3,105
0,well i m gonna finish my bath now have a good fine night,3,61
0,let me know when you ve got the money so carlos can make the call,3,65
0,u still going to the mall,3,26
0,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,3,146
0,text her if she doesnt reply let me know so i can have her log in,3,66
0,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,3,126
0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,3,159
0,lol no u can trust me,3,23
0,ok i am a gentleman and will treat you with dignity and respect,3,65
0,he will you guys close,3,24
0,going on nothing great bye,3,26
0,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me,3,152
0,haha awesome be there in a minute,3,34
1,please call our customer service representative on freephone between am pm as you have won a guaranteed cash or prize,4,149
0,have you got xmas radio times if not i will get it now,3,55
0,i jus reached home i go bathe first but my sis using net tell u when she finishes k,3,88
1,are you unique enough find out from th august www areyouunique co uk,4,72
0,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,3,185
0,hi finally i completed the course,3,37
0,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,3,111
0,how are you doing hope you ve settled in for the new school year just wishin you a gr day,3,92
0,gud mrng dear hav a nice day,3,28
0,did u got that persons story,3,28
0,is your hamster dead hey so tmr i meet you at pm orchard mrt,3,64
0,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,3,131
0,found it enc lt gt where you at,3,40
0,i sent you lt gt bucks,3,28
0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,3,84
0,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,3,174
0,goodmorning sleeping ga,3,24
0,u call me alter at ok,3,25
0,say until like dat i dun buy ericsson oso cannot oredi lar,3,64
0,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,3,156
0,aight yo dats straight dogg,3,28
0,you please give us connection today itself before lt decimal gt or refund the bill,3,86
0,both i shoot big loads so get ready,3,39
0,what s up bruv hope you had a great break do have a rewarding semester,3,73
0,home so we can always chat,3,26
0,k k good study well,3,23
0,yup how noe leh,3,24
0,sounds great are you home now,3,31
0,finally the match heading towards draw as your prediction,3,58
0,tired i haven t slept well the past few nights,3,48
0,easy ah sen got selected means its good,3,41
0,i have to take exam with march,3,32
0,yeah you should i think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready,3,159
0,ok no prob take ur time,3,25
0,there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,3,161
0,sorry i ll call later,3,22
0,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,3,119
1,new mobiles from must go txt nokia to no collect yours today from only www tc biz optout gbp mtmsg,4,143
0,would really appreciate if you call me just need someone to talk to,3,69
1,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries,4,137
0,hey company elama po mudyadhu,3,30
0,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning,3,165
0,dear good morning now only i am up,3,34
0,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right,3,109
0,dear we are going to our rubber place,3,37
0,sorry battery died yeah i m here,3,33
0,yes here tv is always available in work place,3,48
1,text meet someone sexy today u can find a date or even flirt its up to u join just p reply with name age eg sam msg recd thirtyeight pence,4,157
0,i have printed it oh so lt gt come upstairs,3,50
0,or ill be a little closer like at the bus stop on the same street,3,65
0,where are you when wil you reach here,3,38
0,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct,3,145
1,u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on,4,145
0,tomarrow final hearing on my laptop case so i cant,3,51
0,pleassssssseeeeee tel me v avent done sportsx,3,45
0,okay no no just shining on that was meant to be signing but that sounds better,3,83
0,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx everything dat u ve done today i m touched,3,155
0,u don t remember that old commercial,3,37
0,too late i said i have the website i didn t i have or dont have the slippers,3,78
0,i asked you to call him now ok,3,30
0,kallis wont bat in nd innings,3,31
0,it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,3,146
1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs www ldew comwinppmxage,4,150
0,ranjith cal drpd deeraj and deepak min hold,3,44
0,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,3,179
0,what you doing how are you,3,27
0,ups which is days also and the shipping company that takes wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff,3,179
0,i m back lemme know when you re ready,3,38
0,don t necessarily expect it to be done before you get back though because i m just now headin out,3,97
0,mmm so yummy babe nice jolt to the suzy,3,43
0,where are you lover i need you,3,36
1,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now,4,154
0,i m parked next to a mini when are you coming in today do you think,3,74
0,yup,3,3
0,anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao,3,85
0,my no in luton ring me if ur around h,3,51
1,hey i am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop,4,121
0,why you dint come with us,3,26
0,same wana plan a trip sometme then,3,35
0,not sure yet still trying to get a hold of him,3,47
1,ur ringtone service has changed free credits go to clubmobiles com to choose content now stop txt club stop to p wk club po box mk wt,4,159
0,the evo i just had to download flash jealous,3,47
1,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,4,133
0,come to mu we re sorting out our narcotics situation,3,53
0,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,3,147
1,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more info www percent real com,4,155
0,usf i guess might as well take car,3,37
0,no objection my bf not coming,3,31
0,thanx,3,8
0,tell rob to mack his gf in the theater,3,38
0,awesome i ll see you in a bit,3,30
0,just sent it so what type of food do you like,3,47
0,all done all handed in celebrations in full swing yet,3,56
0,you got called a tool,3,22
0,wen u miss someone,3,19
0,ok i asked for money how far,3,29
0,okie,3,7
0,yeah i think my usual guy s still passed out from last night if you get ahold of anybody let me know and i ll throw down,3,121
0,k i might come by tonight then if my class lets out early,3,58
0,ok,3,4
0,hi baby im cruisin with my girl friend what r u up give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,3,148
0,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,3,160
0,dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense,3,152
0,hey you told your name to gautham ah,3,37
0,haf u found him i feel so stupid da v cam was working,3,55
0,oops got that bit,3,21
0,are you this much buzy,3,22
0,i accidentally deleted the message resend please,3,50
1,t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on offer ends thfeb t c s apply,4,159
0,unless it s a situation where you go gurl would be more appropriate,3,67
0,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,3,153
0,i cant pick the phone right now pls send a message,3,51
0,need a coffee run tomo can t believe it s that time of week already,3,67
0,awesome i remember the last time we got somebody high for the first time with diesel v,3,88
0,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,3,157
0,oh and by the way you do have more food in your fridge want to go out for a meal tonight,3,91
0,he is a womdarfull actor,3,24
1,sms ac blind date u rodds is m from aberdeen united kingdom check him out http img sms ac w icmbcktzr no blind dates send hide,4,146
0,yup from what i remb i think should be can book,3,57
0,jos ask if u wana meet up,3,26
0,lol yes our friendship is hanging on a thread cause u won t buy stuff,3,71
1,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to,4,138
0,where are the garage keys they aren t on the bookshelf,3,55
0,today is accept day u accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,3,156
1,think ur smart win this week in our weekly quiz text play to now t cs winnersclub po box m uz gbp week,4,134
0,he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week,3,119
0,hi the way i was with u day is the normal way this is the real me ur unique i hope i know u the rest of mylife hope u find wot was lost,3,142
0,you made my day do have a great day too,3,41
0,k k advance happy pongal,3,26
0,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,3,119
0,not really dude have no friends i m afraid,3,46
1,december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on,4,157
0,coffee cake i guess,3,23
0,merry christmas to you too babe i love ya kisses,3,51
0,hey why dont we just go watch x men and have lunch haha,3,62
0,cud u tell ppl im gona b a bit l cos buses hav gon past cos they were full im still waitin pete x,3,107
0,that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week,3,157
0,no problem how are you doing,3,30
0,no calls messages missed calls,3,32
0,hi da how is the todays class,3,31
0,i d say that s a good sign but well you know my track record at reading women,3,79
0,cool text me when you re parked,3,32
0,i m reading the text i just sent you its meant to be a joke so read it in that light,3,86
0,k k apo k good movie,3,22
0,maybe i could get book out tomo then return it immediately or something,3,76
1,call germany for only pence per minute call from a fixed line via access number no prepayment direct access,4,128
0,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or i will report you to your supervisor,3,232
1,valentines day special win over in our quiz and take your partner on the trip of a lifetime send go to now p msg rcvd custcare,4,159
0,ta daaaaa i am home babe are you still up,3,45
0,cool so how come you havent been wined and dined before,3,57
0,just sleeping and surfing,3,26
0,sorry i ll call later,3,22
0,u calling me right call my hand phone,3,41
0,ok that s great thanx a lot,3,28
0,i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,3,151
0,where u been hiding stranger,3,29
0,am not interested to do like that,3,34
0,my sister cleared two round in birla soft yesterday,3,52
0,gudnite tc practice going on,3,33
0,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,3,85
0,one small prestige problem now,3,31
1,fancy a shag i do interested sextextuk com txt xxuk suzy to txts cost per msg tncs on website x,4,111
0,just checking in on you really do miss seeing jeremiah do have a great month,3,78
0,nah can t help you there i ve never had an iphone,3,50
0,if you re not in my car in an hour and a half i m going apeshit,3,63
0,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault i m basically good,3,148
0,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,3,129
0,lt gt ish minutes was minutes ago wtf,3,45
0,thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer,3,202
1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs www ldew comwinppmxage,4,150
1,ur cash balance is currently pounds to maximize ur cash in now send cash to only p msg cc hg suite lands row wjhl,4,148
0,i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday,3,168
0,hello just got here st andrews boy its a long way its cold i will keep you posted,3,85
0,ha ha cool cool chikku chikku db,3,38
0,oh ok no prob,3,15
0,check audrey s status right now,3,31
0,busy here trying to finish for new year i am looking forward to finally meeting you,3,88
0,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always,3,160
0,well i know z will take care of me so no worries,3,50
1,update now xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt on orange call mobileupd on or calloptout fq,4,165
1,here is your discount code rp to stop further messages reply stop www regalportfolio co uk customer services,4,129
0,wat uniform in where get,3,26
0,cool text me when you re ready,3,31
0,hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you,3,129
0,i will spoil you in bed as well,3,34
0,i m going for bath will msg you next lt gt min,3,54
0,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,3,162
1,thanks for your ringtone order reference t you will be charged gbp per week you can unsubscribe at anytime by calling customer services on,4,157
0,can you say what happen,3,23
0,you could have seen me i did t recognise you face,3,53
0,well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,3,131
0,keep my payasam there if rinu brings,3,36
0,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,3,143
0,i guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you shouldn t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but i ll keep on followin you up,3,300
0,yeah sure give me a couple minutes to track down my wallet,3,59
0,hey leave it not a big deal take care,3,42
0,hey i will be late ah meet you at,3,41
1,double mins and txts months free bluetooth on orange available on sony nokia motorola phones call mobileupd on or calloptout ndx,4,149
0,it took mr owl licks,3,22
0,customer place i will call you,3,31
0,mm that time you dont like fun,3,30
1,mths half price orange line rental latest camera phones free had your phone mths call mobilesdirect free on to update now orstoptxt,4,155
0,yup having my lunch buffet now u eat already,3,47
0,huh so late fr dinner,3,25
0,hey so this sat are we going for the intro pilates only or the kickboxing too,3,80
0,morning only i can ok,3,22
0,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,3,115
0,pick you up bout ish what time are and that going,3,56
0,from here after the performance award is calculated every two month not for current one month period,3,102
0,was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake,3,118
0,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated,3,221
0,good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india,3,204
0,hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator,3,114
1,free ringtone text first to for a poly or text get to for a true tone help after st free tones are x pw to e nd txt stop,4,158
0,dear how is chechi did you talk to her,3,39
0,the hair cream has not been shipped,3,36
0,none of that s happening til you get here though,3,48
0,yep the great loxahatchee xmas tree burning of lt gt starts in an hour,3,77
0,haha get used to driving to usf man i know a lot of stoners,3,60
0,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always,3,168
0,hello good week fancy a drink or something later,3,51
0,headin towards busetop,3,22
0,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,3,152
0,come by our room at some point so we can iron out the plan for this weekend,3,75
0,cos i want it to be your thing,3,30
0,okies i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,3,95
0,bring home some wendy d,3,24
1,dating service cal l boxskch,4,49
0,whatsup there dont u want to sleep,3,35
0,alright i have a new goal now,3,29
1,free entry into our weekly competition just text the word win to now t c www txttowin co uk,4,107
0,alright i ll head out in a few minutes text me where to meet you,3,66
1,send a logo ur lover names joined by a heart txt love name name mobno eg love adam eve to yahoo poboxwwq txtno no ads p,4,159
0,yes from last week itself i m taking live call,3,48
1,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline poboxntfp,4,162
0,siva is in hostel aha,3,24
1,urgent your mobile number has been awarded with a prize guaranteed call from land line claim valid hrs only,4,137
0,send this to ur friends and receive something about ur voice how is my speaking expression childish naughty sentiment rowdy ful of attitude romantic shy attractive funny lt gt irritating lt gt lovable reply me,3,248
0,ok she ll be ok i guess,3,25
0,aathi where are you dear,3,27
0,any pain on urination any thing else,3,37
0,at esplanade do mind giving me a lift cos i got no car today,3,69
0,i wnt to buy a bmw car urgently its vry urgent but hv a shortage of lt gt lacs there is no source to arng dis amt lt gt lacs thats my prob,3,150
0,at home watching tv lor,3,24
0,does she usually take fifteen fucking minutes to respond to a yes or no question,3,80
1,congrats nokia video camera phone is your call calls cost ppm ave call mins vary from mobiles close post bcm ldn wcnxx,4,157
0,booked ticket for pongal,3,25
0,you available now i m like right around hillsborough amp lt gt th,3,73
0,the message sent is askin for lt gt dollars shoul i pay lt gt or lt gt,3,89
0,ask g or iouri i ve told the story like ten times already,3,58
0,how long does applebees fucking take,3,36
0,hi hope u get this txt journey hasnt been gd now about mins late i think,3,76
0,but i have to i like to have love and arrange,3,47
